News#   Title                                                                                                    Word                          Frequency Polarity 
158       SWIRE PACIFIC LTD SWPC.HKG YEAR 1986                                                                     ltd                           1         Neutral

159       BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion                                       1986                          1         Neutral
159       BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion                                       bat                           1         Neutral
159       BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion                                       1.39                          1         Neutral
159       BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion                                       billion                       2         Neutral
159       BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion                                       1.17                          1         Neutral
159       BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion                                       industries                    1         Neutral
159       BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion                                       stg                           1         Neutral
159       BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion                                       pretax                        1         Neutral
159       BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion                                       profit                        1         Neutral
159       BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion                                       vs                            1         Neutral

160       BAT INDUSTRIES PLC BTI.L 1986 YEAR                                                                       1986                          1         Neutral
160       BAT INDUSTRIES PLC BTI.L 1986 YEAR                                                                       bat                           1         Neutral
160       BAT INDUSTRIES PLC BTI.L 1986 YEAR                                                                       year                          1         Neutral
160       BAT INDUSTRIES PLC BTI.L 1986 YEAR                                                                       plc                           1         Neutral
160       BAT INDUSTRIES PLC BTI.L 1986 YEAR                                                                       industries                    1         Neutral
160       BAT INDUSTRIES PLC BTI.L 1986 YEAR                                                                       bti.l                         1         Neutral

161       SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS                                                           1986                          1         Neutral
161       SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS                                                           profits                       1         Neutral
161       SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS                                                           swire                         1         Neutral
161       SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS                                                           issue                         1         Negative
161       SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS                                                           plans                         1         Negative
161       SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS                                                           bonus                         1         Neutral
161       SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS                                                           on                            1         Neutral
161       SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS                                                           higher                        1         Neutral

162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           reduce                        1         Neutral
162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           houses,                       1         Neutral
162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           trade                         2         Neutral
162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           sources                       1         Neutral
162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           japan                         1         Neutral
162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           sales,                        1         Neutral
162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           asks                          1         Neutral
162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           to                            1         Neutral
162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           dlr                           1         Neutral
162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           ministry                      1         Neutral
162       Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources                           exporters                     1         Neutral

163       SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR                                                            government                    1         Neutral
163       SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR                                                            stop                          1         Neutral
163       SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR                                                            lankan                        1         Neutral
163       SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR                                                            sri                           1         Neutral
163       SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR                                                            to                            1         Neutral
163       SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR                                                            sugar                         1         Neutral
163       SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR                                                            importing                     1         Neutral

164       NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION                                                             dutch                         1         Neutral
164       NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION                                                             special                       1         Neutral
164       NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION                                                             new                           1         Neutral
164       NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION                                                             total                         1         Neutral
164       NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION                                                             billion                       1         Neutral
164       NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION                                                             advances                      1         Neutral
164       NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION                                                             4.2                           1         Neutral

165       DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT                                                             pct                           1         Neutral
165       DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT                                                             danish                        1         Neutral
165       DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT                                                             0.1                           1         Neutral
165       DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT                                                             fall                          1         Negative
165       DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT                                                             february                      1         Negative
165       DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT                                                             prices                        1         Negative
165       DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT                                                             consumer                      1         Negative

166       JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES                                                        traders,                      1         Neutral
166       JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES                                                        cut                           1         Neutral
166       JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES                                                        japan                         1         Neutral
166       JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES                                                        asks                          1         Neutral
166       JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES                                                        to                            1         Neutral
166       JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES                                                        sales                         1         Neutral
166       JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES                                                        exporters                     1         Neutral
166       JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES                                                        dollar                        1         Neutral

167       BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                           bank                          1         Neutral
167       BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                           300                           1         Neutral
167       BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                           yen                           1         Neutral
167       BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                           japan                         1         Neutral
167       BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                           billion                       1         Neutral
167       BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                           in                            1         Neutral
167       BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                           of                            1         Neutral
167       BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                           sell                          1         Neutral
167       BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                           bills                         1         Neutral
167       BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS                                                           to                            1         Neutral

168       ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT                                                          abbey                         1         Neutral
168       ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT                                                          cd                            1         Neutral
168       ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT                                                          euro                          1         Neutral
168       ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT                                                          billion                       1         Neutral
168       ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT                                                          pact                          1         Neutral
168       ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT                                                          one                           1         Neutral
168       ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT                                                          national                      1         Neutral
168       ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT                                                          has                           1         Neutral
168       ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT                                                          dlr                           1         Neutral

169       ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND                                                              100                           1         Neutral
169       ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND                                                              enserch                       1         Neutral
169       ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND                                                              convertible                   1         Neutral
169       ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND                                                              dlr                           1         Neutral
169       ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND                                                              issues                        1         Negative
169       ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND                                                              bond                          1         Negative
169       ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND                                                              mln                           1         Negative

170       MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES                                                             market                        1         Neutral
170       MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES                                                             east                          1         Neutral
170       MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES                                                             middle                        1         Neutral
170       MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES                                                             sees                          1         Neutral
170       MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES                                                             changes                       1         Neutral
170       MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES                                                             currency                      1         Neutral
170       MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES                                                             key                           1         Neutral

171       BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT                                                               into                          1         Neutral
171       BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT                                                               trade                         1         Neutral
171       BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT                                                               january                       1         Neutral
171       BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT                                                               belgolux                      1         Neutral
171       BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT                                                               deficit                       1         Neutral
171       BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT                                                               swings                        1         Neutral

172       GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS                                                          injunction                    1         Neutral
172       GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS                                                          against                       1         Neutral
172       GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS                                                          u.k.                          1         Neutral
172       GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS                                                          guinness                      1         Neutral
172       GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS                                                          saunders                      1         Neutral
172       GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS                                                          seeks                         1         Neutral

173       CITIBANK LAUNCHES CURRENCY WARRANTS                                                                      warrants                      1         Neutral
173       CITIBANK LAUNCHES CURRENCY WARRANTS                                                                      currency                      1         Neutral
173       CITIBANK LAUNCHES CURRENCY WARRANTS                                                                      citibank                      1         Neutral
173       CITIBANK LAUNCHES CURRENCY WARRANTS                                                                      launches                      1         Neutral

174       MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL                                                          1986                          1         Neutral
174       MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL                                                          at                            1         Neutral
174       MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL                                                          held                          1         Neutral
174       MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL                                                          level                         1         Neutral
174       MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL                                                          malaysia's                    1         Neutral
174       MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL                                                          borrowing                     1         Neutral
174       MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL                                                          foreign                       1         Neutral

175       BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS                                                        u.s.                          1         Neutral
175       BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS                                                        profit,turnover               1         Neutral
175       BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS                                                        by                            1         Neutral
175       BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS                                                        basf                          1         Neutral
175       BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS                                                        boosted                       1         Neutral
175       BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS                                                        acquisitions                  1         Neutral

176       SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER                                                         bank                          1         Neutral
176       SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER                                                         assests                       1         Neutral
176       SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER                                                         in                            1         Neutral
176       SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER                                                         4th                           1         Neutral
176       SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER                                                         swiss                         1         Neutral
176       SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER                                                         up                            1         Neutral
176       SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER                                                         net                           1         Neutral
176       SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER                                                         foreign                       1         Neutral
176       SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER                                                         quarter                       1         Neutral

177       BICC PLC BICC.L 1986 YEAR                                                                                1986                          1         Neutral
177       BICC PLC BICC.L 1986 YEAR                                                                                bicc.l                        1         Neutral
177       BICC PLC BICC.L 1986 YEAR                                                                                year                          1         Neutral
177       BICC PLC BICC.L 1986 YEAR                                                                                plc                           1         Neutral
177       BICC PLC BICC.L 1986 YEAR                                                                                bicc                          1         Neutral

178       TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR                                                              pct                           1         Neutral
178       TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR                                                              taiwan                        1         Neutral
178       TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR                                                              money                         1         Neutral
178       TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR                                                              in                            1         Neutral
178       TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR                                                              year                          1         Neutral
178       TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR                                                              48.22                         1         Neutral
178       TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR                                                              supply                        1         Neutral
178       TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR                                                              rises                         1         Neutral

179       PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150                                                          afghan                        1         Neutral
179       PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150                                                          almost                        1         Neutral
179       PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150                                                          pakistan                      1         Neutral
179       PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150                                                          air                           1         Neutral
179       PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150                                                          150                           1         Neutral
179       PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150                                                          says                          1         Neutral
179       PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150                                                          killed                        1         Negative
179       PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150                                                          raid                          1         Negative

180       CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS                                                       cut                           1         Neutral
180       CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS                                                       china                         1         Neutral
180       CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS                                                       zhao                          1         Neutral
180       CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS                                                       continue                      1         Neutral
180       CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS                                                       demand,                       1         Neutral
180       CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS                                                       must                          1         Neutral
180       CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS                                                       reforms,                      1         Neutral
180       CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS                                                       says                          1         Neutral

181       NIPPON STEEL TO REDUCE DIVIDEND                                                                          reduce                        1         Neutral
181       NIPPON STEEL TO REDUCE DIVIDEND                                                                          steel                         1         Neutral
181       NIPPON STEEL TO REDUCE DIVIDEND                                                                          dividend                      1         Neutral
181       NIPPON STEEL TO REDUCE DIVIDEND                                                                          nippon                        1         Neutral
181       NIPPON STEEL TO REDUCE DIVIDEND                                                                          to                            1         Neutral

182       BAT SEES STRONG PERFORMANCE FROM ALL SECTORS                                                             all                           1         Neutral
182       BAT SEES STRONG PERFORMANCE FROM ALL SECTORS                                                             strong                        1         Positive
182       BAT SEES STRONG PERFORMANCE FROM ALL SECTORS                                                             sectors                       1         Positive
182       BAT SEES STRONG PERFORMANCE FROM ALL SECTORS                                                             performance                   1         Positive
182       BAT SEES STRONG PERFORMANCE FROM ALL SECTORS                                                             bat                           1         Positive
182       BAT SEES STRONG PERFORMANCE FROM ALL SECTORS                                                             sees                          1         Positive
182       BAT SEES STRONG PERFORMANCE FROM ALL SECTORS                                                             from                          1         Positive

183       CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER                                                          over                          1         Neutral
183       CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER                                                          crisis                        1         Negative
183       CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER                                                          zhao                          1         Negative
183       CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER                                                          premier                       1         Neutral
183       CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER                                                          political                     1         Neutral
183       CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER                                                          says                          1         Neutral
183       CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER                                                          china's                       1         Neutral

184       TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY                                                        u.s.                          1         Neutral
184       TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY                                                        taiwan                        1         Neutral
184       TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY                                                        rising                        1         Neutral
184       TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY                                                        sees                          1         Neutral
184       TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY                                                        in                            1         Neutral
184       TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY                                                        sharply                       1         Negative
184       TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY                                                        its                           1         Negative
184       TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY                                                        investment                    1         Negative

185       BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT                                                       wins                          1         Positive
185       BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT                                                       unit                          1         Positive
185       BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT                                                       venezuelan                    1         Positive
185       BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT                                                       plant                         1         Positive
185       BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT                                                       for                           1         Positive
185       BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT                                                       babcock                       1         Positive
185       BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT                                                       power                         1         Positive
185       BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT                                                       order                         1         Positive

186       JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT                                                         hk                            1         Neutral
186       JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT                                                         consortium                    1         Neutral
186       JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT                                                         jardine                       1         Neutral
186       JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT                                                         for                           1         Neutral
186       JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT                                                         to                            1         Neutral
186       JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT                                                         join                          1         Neutral
186       JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT                                                         second                        1         Neutral
186       JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT                                                         airport                       1         Neutral

187       BABCOCK INTERNATIONAL PLC BABK.L YEAR 1986                                                               1986                          1         Neutral
187       BABCOCK INTERNATIONAL PLC BABK.L YEAR 1986                                                               year                          1         Neutral
187       BABCOCK INTERNATIONAL PLC BABK.L YEAR 1986                                                               plc                           1         Neutral
187       BABCOCK INTERNATIONAL PLC BABK.L YEAR 1986                                                               babk.l                        1         Neutral
187       BABCOCK INTERNATIONAL PLC BABK.L YEAR 1986                                                               babcock                       1         Neutral
187       BABCOCK INTERNATIONAL PLC BABK.L YEAR 1986                                                               international                 1         Neutral

188       VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS                                                          small                         1         Neutral
188       VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS                                                          shareholders                  1         Neutral
188       VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS                                                          continues                     1         Neutral
188       VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS                                                          for                           1         Neutral
188       VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS                                                          veba                          1         Neutral
188       VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS                                                          placement                     1         Neutral

189       DELTA GROUP DLTL.L YEAR TO JAN 3.                                                                        dltl.l                        1         Neutral
189       DELTA GROUP DLTL.L YEAR TO JAN 3.                                                                        year                          1         Neutral
189       DELTA GROUP DLTL.L YEAR TO JAN 3.                                                                        jan                           1         Neutral
189       DELTA GROUP DLTL.L YEAR TO JAN 3.                                                                        delta                         1         Neutral
189       DELTA GROUP DLTL.L YEAR TO JAN 3.                                                                        to                            1         Neutral
189       DELTA GROUP DLTL.L YEAR TO JAN 3.                                                                        3.                            1         Neutral
189       DELTA GROUP DLTL.L YEAR TO JAN 3.                                                                        group                         1         Neutral

190       PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING                                                        gold                          1         Positive
190       PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING                                                        big                           1         Positive
190       PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING                                                        expanding                     1         Positive
190       PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING                                                        study                         1         Positive
190       PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING                                                        placer                        1         Positive
190       PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING                                                        pacific                       1         Positive
190       PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING                                                        says                          1         Positive
190       PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING                                                        bell                          1         Positive

191       BELGIAN PUBLIC DEBT RISES IN FEBRUARY                                                                    public                        1         Neutral
191       BELGIAN PUBLIC DEBT RISES IN FEBRUARY                                                                    in                            1         Neutral
191       BELGIAN PUBLIC DEBT RISES IN FEBRUARY                                                                    belgian                       1         Neutral
191       BELGIAN PUBLIC DEBT RISES IN FEBRUARY                                                                    february                      1         Neutral
191       BELGIAN PUBLIC DEBT RISES IN FEBRUARY                                                                    debt                          1         Negative
191       BELGIAN PUBLIC DEBT RISES IN FEBRUARY                                                                    rises                         1         Negative

192       BABCOCK EXPECTS FURTHER PROGRESS IN 1987                                                                 1987                          1         Neutral
192       BABCOCK EXPECTS FURTHER PROGRESS IN 1987                                                                 in                            1         Neutral
192       BABCOCK EXPECTS FURTHER PROGRESS IN 1987                                                                 progress                      1         Positive
192       BABCOCK EXPECTS FURTHER PROGRESS IN 1987                                                                 babcock                       1         Positive
192       BABCOCK EXPECTS FURTHER PROGRESS IN 1987                                                                 further                       1         Positive
192       BABCOCK EXPECTS FURTHER PROGRESS IN 1987                                                                 expects                       1         Positive

193       EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL                                                            buys                          1         Neutral
193       EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL                                                            oil                           1         Neutral
193       EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL                                                            egypt                         1         Neutral
193       EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL                                                            of                            1         Neutral
193       EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL                                                            sunflowerseed                 1         Neutral
193       EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL                                                            tonnes                        1         Neutral
193       EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL                                                            46,000                        1         Neutral

194       CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS                                                        costs                         1         Neutral
194       CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS                                                        cut                           1         Neutral
194       CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS                                                        china                         1         Neutral
194       CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS                                                        import                        1         Neutral
194       CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS                                                        control,                      1         Neutral
194       CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS                                                        to                            1         Neutral
194       CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS                                                        tighten                       1         Neutral
194       CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS                                                        export                        1         Neutral

195       WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN                                                          mint                          1         Neutral
195       WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN                                                          west                          1         Neutral
195       WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN                                                          germans                       1         Neutral
195       WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN                                                          to                            1         Neutral
195       WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN                                                          community                     1         Neutral
195       WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN                                                          anniversary                   1         Neutral
195       WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN                                                          coin                          1         Neutral

196       SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER                                                           pct                           1         Neutral
196       SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER                                                           singapore                     1         Neutral
196       SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER                                                           gdp                           1         Neutral
196       SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER                                                           grow                          1         Neutral
196       SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER                                                           six                           1         Neutral
196       SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER                                                           in                            1         Neutral
196       SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER                                                           to                            1         Neutral
